,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
38,Brendan Donovan,12.25,1.0350983390135315,66.75,1.488047618285688,58.875,3.48209706929603,4.875,0.6408699444616557,0.34325,0.004527692569068671,7.970257210404189,9.144704982959405,15.355295017040595,31.792217367233967,62.285857145142934,71.21414285485706,11.642888138917655,48.42870879211191,69.3212912078881,0.1950473744013735,2.952390166615033,6.797609833384967,7.785422588276746,0.329666922292794,0.356833077707206,59.385832679233935,2B/OF,7.926056794753735
43,Jose Altuve,19.75,1.5811388300841898,76.75,3.615443067098217,69.5,2.7255405754769866,12.0,0.9258200997725514,0.32937500000000003,0.004688511795564023,9.961174629530394,15.006583509747431,24.49341649025257,15.850984864029268,65.90367079870535,87.59632920129465,18.77303428429503,61.32337827356904,77.67662172643097,7.830895010576165,9.222539700682345,14.777460299317655,4.559015937684901,0.31530946461330794,0.3434405353866921,56.97510472611576,2B/OF/DH,15.064149946540796
49,Ketel Marte,26.75,1.6690459207925594,88.25,4.39967531269557,85.125,7.019106577254486,5.5,0.5345224838248487,0.3585,0.004566962103755937,13.630541686472585,21.742862237622322,31.757137762377678,15.639411648123703,75.0509740619133,101.4490259380867,9.515693476304522,64.06768026823654,106.18231973176346,1.4031215200402283,3.896432548525454,7.103567451474547,11.057678792313176,0.3447991136887322,0.3722008863112678,51.246447123254214,2B/DH,24.090266806456764
50,Bryson Stott,13.25,0.7071067811865477,69.125,4.086126352846735,61.0,4.629100498862758,23.125,1.457737973711325,0.3245,0.004659858980085749,13.081475451951126,11.128679656440358,15.371320343559642,12.159030104078855,56.86662094145979,81.3833790585402,9.217053437735622,47.11269850341172,74.88730149658828,12.605146007974401,18.751786078866026,27.498213921133974,3.540879685525674,0.31052042305974276,0.33847957694025727,50.60358468726567,2B,9.382892990133012
51,Ozzie Albies,17.625,0.7440238091428455,71.0,4.6291004988627575,70.5,3.6645015252516195,10.375,0.9161253813129043,0.3115,0.005682051943243251,18.31258601212872,15.392928572571464,19.857071427428536,11.137872972513744,57.11269850341173,84.88730149658826,14.235678797564342,59.506495424245145,81.49350457575486,6.139989257735422,7.626623856061287,13.123376143938714,0.615974657563979,0.29445384417027026,0.32854615582972974,50.44210169750621,2B,8.482456046547608
53,Willi Castro,12.625,0.7440238091428449,68.0,4.535573676110727,53.25,2.815771906346718,15.0,1.0690449676496976,0.33125000000000004,0.003918819064098645,11.592370961806262,10.392928572571465,14.857071427428535,10.706106173314852,54.39327897166782,81.60672102833217,12.400388890863248,44.802684280959845,61.697315719040155,9.587997053608225,11.792865097050907,18.207134902949093,5.932909792391169,0.3194935428077041,0.343006457192296,50.21977287198376,2B/3B/OF,7.459490269995888
69,Colt Keith,14.625,0.5175491695067657,62.375,3.5831949031954338,59.375,4.8678977568791,3.125,0.8345229603962802,0.328125,0.003979860011895602,20.529450390435038,13.072352491479704,16.177647508520298,11.98185822798703,51.6254152904137,73.1245847095863,8.431086418910173,44.7713067293627,73.97869327063731,-1.9472202409246537,0.6214311188111594,5.628568881188841,5.056710522442344,0.3161854199643132,0.3400645800356868,44.051885318849926,1B/2B/3B/DH,8.208354049303985
81,Marcus Semien,18.75,1.0350983390135313,76.125,6.916594950861712,70.375,3.925648263117097,9.0,1.3093073414159544,0.31225,0.00218762754730194,14.249853800419615,15.644704982959407,21.855295017040593,8.19526569591464,55.37521514741486,96.87478485258514,13.25683382171989,58.59805521064871,82.15194478935129,3.2459911172603864,5.072077975752137,12.927922024247863,1.9427438666338204,0.30568711735809423,0.3188128826419058,40.89068830194836,2B,9.27436786206422
84,Jonathan India,11.625,0.744023809142845,61.25,4.166190448976481,49.75,3.1959796173138706,5.625,1.5979898086569355,0.34175,0.0037701837772561417,10.248327951741766,9.392928572571465,13.857071427428535,10.0351469394791,48.751428653070555,73.74857134692944,9.830058519919936,40.162061148058385,59.337938851941615,0.5475629414279009,0.8310305740291932,10.418969425970808,8.951818265093307,0.33043944866823155,0.35306055133176845,39.61291461766201,2B/3B/OF/DH,3.891935116858853
99,Jorge Polanco,21.625,1.9226098333849673,61.5,2.8784916685156987,68.75,5.0920105487490295,5.125,0.9910312089651149,0.323375,0.0062091522310675955,9.167226596864554,15.857170499845099,27.392829500154903,14.611240252441265,52.86452499445291,70.1354750055471,9.901131622567572,53.47396835375291,84.02603164624709,0.37839373433213475,2.1519063731046555,8.098093626895345,2.476183451111242,0.3047475433067972,0.34200245669320284,36.534175657316766,2B/DH,6.891974288954974
