,Name,HR,HR,R,R,RBI,RBI,SB,SB,OBP,OBP,HR_sharpe,HR,HR,R_sharpe,R,R,RBI_sharpe,RBI,RBI,SB_sharpe,SB,SB,OBP_sharpe,OBP,OBP,Total_sharpe,POS,Salary
,,mean,std,mean,std,mean,std,mean,std,mean,std,,low,high,,low,high,,low,high,,low,high,,low,high,,,
13,Francisco Lindor,25.625,0.744023809142845,92.0,5.879747322073339,81.125,5.488624600025039,22.875,0.9910312089651149,0.3345,0.002828427124746199,29.06493009264468,23.392928572571464,27.857071427428536,12.340382904030577,74.36075803377999,109.63924196622001,11.440328177368919,64.65912619992488,97.59087380007512,18.289030492719846,19.901906373104655,25.848093626895345,9.369164850721733,0.3260147186257614,0.3429852813742386,80.50383651748575,SS,29.780309478544268
17,Trea Turner,18.0,0.7559289460184537,87.625,3.5831949031954338,72.25,3.535533905932739,26.5,1.511857892036909,0.33275,0.0034537764010675958,18.520259177452154,15.732213161944639,20.26778683805536,19.028642084897093,76.8754152904137,98.3745847095863,15.24993624758987,61.64339828220179,82.85660171779821,14.38627275391371,21.964426323889274,31.035573676110726,7.1660689998198865,0.3223886707967972,0.34311132920320275,74.35117926367272,SS,23.09014181040955
18,Bobby Witt Jr.,28.75,1.832250762625808,102.375,3.814914340921881,95.0,4.6598589800857395,33.75,1.908627030841054,0.3485,0.00578174466995659,13.507976367017934,23.253247712122576,34.24675228787743,21.739238662248024,90.93025697723436,113.81974302276564,16.452572276179918,81.02042305974278,108.97957694025722,15.194168127871942,28.02411890747684,39.47588109252316,7.0048060424474015,0.3311547659901302,0.36584523400986974,73.89876147576523,SS,39.35441529610849
22,Gunnar Henderson,26.875,1.1259916264596033,99.25,4.334248987508018,86.125,5.111262075065219,22.375,1.5979898086569355,0.35162499999999997,0.005998511720180502,20.315426387250028,23.49702512062119,30.25297487937881,18.413416848767447,86.24725303747594,112.25274696252406,13.263195209140525,70.79121377480435,101.45878622519565,11.02948210590486,17.581030574029192,27.168969425970808,7.272637286551346,0.33362946483945843,0.3696205351605415,70.29415783761421,SS,33.640972868368145
27,Elly De La Cruz,23.875,1.807721533549109,95.375,6.759913355319621,83.375,9.257236551554067,40.125,1.1259916264596033,0.33425000000000005,0.006088631091750311,10.994503097487206,18.451835399352674,29.298164600647326,11.232885592176814,75.09525993404114,115.65474006595886,7.026034854402391,55.6032903453378,111.1467096546622,31.41675228192217,36.74702512062119,43.50297487937881,4.311313923349216,0.31598410672474914,0.35251589327525096,64.9814897493378,SS,33.0389421551651
32,Mookie Betts,21.625,0.9161253813129042,88.25,4.464142854857069,82.25,3.8078865529319574,9.125,0.9910312089651149,0.351375,0.006390562237728841,19.238633007570993,18.876623856061286,24.373376143938714,15.413559908475747,74.8575714354288,101.6424285645712,16.785339000567852,70.82634034120413,93.67365965879587,4.414593567208239,6.151906373104655,12.098093626895345,6.787352722100263,0.33220331328681346,0.3705466867131865,62.6394782059231,SS,24.611844137195472
35,Zach Neto,26.875,1.1259916264596033,86.875,4.549332761123171,80.625,8.175529690135416,27.125,1.6420805617960927,0.323125,0.004580626906564517,20.315426387250028,23.49702512062119,30.25297487937881,14.822686506819734,73.22700171663048,100.52299828336952,7.619282056039466,56.098410929593754,105.15158907040625,13.626006251195392,22.198758314611723,32.05124168538828,3.301949778604386,0.30938311928030643,0.33686688071969356,59.68535097990901,SS,25.52760312834405
39,CJ Abrams,18.5,1.195228609334394,81.0,5.999999999999999,69.25,3.6154430670982194,30.5,1.1952286093343938,0.312875,0.004940720016932185,12.131570384744093,14.914314171996818,22.085685828003182,10.259722222222234,63.0,99.0,14.083105644789686,58.40367079870534,80.09632920129465,21.543995683252444,26.914314171996818,34.08568582800318,0.9866982916038676,0.29805283994920345,0.3276971600507966,59.00509222661233,SS,20.660380716208053
42,Willy Adames,25.75,1.388730149658827,81.125,4.940720016932175,82.75,4.832922806867791,11.75,0.7071067811865476,0.318375,0.0018468119248354188,15.661790021152331,21.58380955102352,29.91619044897648,12.484685050344993,66.30283994920347,95.94716005079653,13.32871830171337,68.25123157939663,97.24876842060337,9.899494936611665,9.628679656440358,13.871320343559642,5.617789153556936,0.31283456422549377,0.32391543577450627,56.992477463379295,SS,18.123715875753025
